ticker,name,module,shares,market_cap,adv,excused
ADBE,ADOBE INC.,software,397500000,98909925727,1551237117,
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,industrials,36698856,11691521051,93328543,
CDNS,CADENCE DESIGN SYSTEMS INC,software,275816000,78593772566,673038721,
CHRW,"C. H. ROBINSON WORLDWIDE, INC.",industrials,116851258,17810468530,266129928,
CMI,CUMMINS INC,industrials,137664487,75719601817,567892376,C1
COST,COSTCO WHOLESALE CORP /NEW,consumer,443478804,400186405318,1961348866,
DCI,DONALDSON Co INC,industrials,115911056,10221036953,62928898,
DKS,"DICK'S SPORTING GOODS, INC.",consumer,0,,340137232,C1
DXCM,DEXCOM INC,healthcare,377360765,31890759056,402852391,C3
EME,"EMCOR Group, Inc.",industrials,44109901,33008762969,323849103,
EW,Edwards Lifesciences Corp,healthcare,576400000,50014226065,361129170,C1
FHI,"FEDERATED HERMES, INC.",fee_business,0,,34857892,
FIVE,"FIVE BELOW, INC",consumer,55054035,13283437497,273222134,C1
FIX,COMFORT SYSTEMS USA INC,industrials,35194329,55987492578,749416831,
FSS,FEDERAL SIGNAL CORP /DE/,industrials,61041611,6925781128,57125099,C1
GGG,GRACO INC,industrials,161953824,12303632206,134605642,
GL,GLOBE LIFE INC.,financials,76849447,13125885782,104190414,
GOOG,Alphabet Inc.,software,0,,6596040385,C1
GWW,"W.W. GRAINGER, INC.",industrials,47100942,59888376283,372342987,C1
HD,"HOME DEPOT, INC.",consumer,997689626,304983744207,1281581544,
HLI,"HOULIHAN LOKEY, INC.",fee_business,0,,118060032,
IDXX,IDEXX LABORATORIES INC /DE,healthcare,78781116,39904998591,314532480,
ISRG,INTUITIVE SURGICAL INC,healthcare,353278038,127342598558,1090176456,C1
ITT,ITT INC.,industrials,89400000,17542961618,179902046,C1
LECO,LINCOLN ELECTRIC HOLDINGS INC,industrials,54505757,13684215219,106742274,
LII,LENNOX INTERNATIONAL INC,industrials,34799968,12967163906,186424161,C1
LOGI,LOGITECH INTERNATIONAL S.A.,software,143188332,14285899402,98476904,
MKTX,MARKETAXESS HOLDINGS INC,fee_business,35192891,5739608464,169041504,
NYT,NEW YORK TIMES CO,media,0,,131527201,
REGN,"REGENERON PHARMACEUTICALS, INC.",healthcare,93955110,74530831476,651756110,
RMD,RESMED INC,healthcare,144252306,31674921615,326868808,
SEIC,SEI INVESTMENTS CO,fee_business,120019182,12814447659,74721021,
SFM,"Sprouts Farmers Market, Inc.",consumer,93247625,6732478240,145092478,
SSD,"Simpson Manufacturing Co., Inc.",industrials,40984682,7066988417,50238915,C1
THG,"HANOVER INSURANCE GROUP, INC.",financials,34820221,7800077514,70203071,
TJX,TJX COMPANIES INC /DE/,consumer,1099974061,139058718777,802546786,
TOL,"Toll Brothers, Inc.",industrials,92147000,12207634166,131010826,
TROW,PRICE T ROWE GROUP INC,fee_business,213315850,22942120318,203784463,
UI,Ubiquiti Inc.,software,60528381,32494057681,71299215,C1
ULTA,"Ulta Beauty, Inc.",consumer,42757471,22902184400,362780323,
WTS,WATTS WATER TECHNOLOGIES INC,industrials,0,,110808957,
YUMC,"Yum China Holdings, Inc.",consumer,342458136,14482554884,69110206,
